Category,ID,Latitude,Longitude,Date,MODIS_Tile,MOD13A1_061_Line_Y_500m,MOD13A1_061_Sample_X_500m,MOD13A1_061__500m_16_days_EVI,MOD13A1_061__500m_16_days_VI_Quality,MOD13A1_061__500m_16_days_pixel_reliability,MOD13A1_061__500m_16_days_VI_Quality_bitmask,MOD13A1_061__500m_16_days_VI_Quality_MODLAND,MOD13A1_061__500m_16_days_VI_Quality_MODLAND_Description,MOD13A1_061__500m_16_days_VI_Quality_VI_Usefulness,MOD13A1_061__500m_16_days_VI_Quality_VI_Usefulness_Description,MOD13A1_061__500m_16_days_VI_Quality_Aerosol_Quantity,MOD13A1_061__500m_16_days_VI_Quality_Aerosol_Quantity_Description,MOD13A1_061__500m_16_days_VI_Quality_Adjacent_cloud_detected,MOD13A1_061__500m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MOD13A1_061__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MOD13A1_061__500m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MOD13A1_061__500m_16_days_VI_Quality_Mixed_Clouds,MOD13A1_061__500m_16_days_VI_Quality_Mixed_Clouds_Description,MOD13A1_061__500m_16_days_VI_Quality_Land/Water_Mask,MOD13A1_061__500m_16_days_VI_Quality_Land/Water_Mask_Description,MOD13A1_061__500m_16_days_VI_Quality_Possible_snow/ice,MOD13A1_061__500m_16_days_VI_Quality_Possible_snow/ice_Description,MOD13A1_061__500m_16_days_VI_Quality_Possible_shadow,MOD13A1_061__500m_16_days_VI_Quality_Possible_shadow_Description,MOD13A1_061__500m_16_days_pixel_reliability_bitmask,MOD13A1_061__500m_16_days_pixel_reliability_MODLAND,MOD13A1_061__500m_16_days_pixel_reliability_MODLAND_Description
AbuDhabi,1,24.0,51.0,2019-08-29,h22v06,1439.0,1581.0,0.0744,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2019-09-14,h22v06,1439.0,1581.0,0.0771,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2019-09-30,h22v06,1439.0,1581.0,0.0739,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2019-10-16,h22v06,1439.0,1581.0,0.0753,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2019-11-01,h22v06,1439.0,1581.0,0.0689,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2019-11-17,h22v06,1439.0,1581.0,0.0886,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2019-12-03,h22v06,1439.0,1581.0,0.0711,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2019-12-19,h22v06,1439.0,1581.0,0.0635,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2020-01-01,h22v06,1439.0,1581.0,0.0745,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
AbuDhabi,1,24.0,51.0,2020-01-17,h22v06,1439.0,1581.0,0.0726,2116.0,0.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No,0b00000000000000000000000000000000,0b00000000000000000000000000000000,"Good data, use with confidence"
